serial,dates,count
0,2020-03-15,63
1,2020-03-16,37
2,2020-03-17,40
3,2020-03-18,52
4,2020-03-19,54
5,2020-03-20,50
6,2020-03-21,39
7,2020-03-22,140
8,2020-03-23,88
9,2020-03-24,98
10,2020-03-25,97
11,2020-03-26,112
12,2020-03-27,122
13,2020-03-28,78
14,2020-03-29,196
15,2020-03-30,96
16,2020-03-31,114
17,2020-04-01,88
18,2020-04-02,54
19,2020-04-03,54
20,2020-04-04,39
21,2020-04-05,109
22,2020-04-06,54
23,2020-04-07,34
24,2020-04-08,47
25,2020-04-09,54
26,2020-04-10,74
27,2020-04-11,56
28,2020-04-12,102
29,2020-04-13,36
30,2020-04-14,56
31,2020-04-15,64
32,2020-04-16,58
33,2020-04-17,46
34,2020-04-18,51
35,2020-04-19,90
36,2020-04-20,35
37,2020-04-21,49
38,2020-04-22,71
39,2020-04-23,68
40,2020-04-24,64
41,2020-04-25,42
42,2020-04-26,97
43,2020-04-27,54
44,2020-04-28,71
45,2020-04-29,50
46,2020-04-30,50
47,2020-05-01,53
48,2020-05-02,16
49,2020-05-03,66
50,2020-05-04,63
51,2020-05-05,37
52,2020-05-06,47
53,2020-05-07,49
54,2020-05-08,46
55,2020-05-09,42
56,2020-05-10,81
57,2020-05-11,58
58,2020-05-12,66
59,2020-05-13,41
60,2020-05-14,42
61,2020-05-15,51
62,2020-05-16,62
63,2020-05-17,70
64,2020-05-18,51
65,2020-05-19,55
66,2020-05-20,72
67,2020-05-21,40
68,2020-05-22,58
69,2020-05-23,31
70,2020-05-24,54
71,2020-05-25,28
72,2020-05-26,45
73,2020-05-27,41
74,2020-05-28,43
75,2020-05-29,66
76,2020-05-30,35
77,2020-05-31,60
78,2020-06-01,35
79,2020-06-02,42
80,2020-06-03,35
81,2020-06-04,39
82,2020-06-05,45
83,2020-06-06,47
84,2020-06-07,48
85,2020-06-08,28
86,2020-06-09,44
87,2020-06-10,37
88,2020-06-11,36
89,2020-06-12,44
90,2020-06-13,32
91,2020-06-14,36
92,2020-06-15,32
93,2020-06-16,1
